,0,1,2,3,4,5,6,7,8,9
0,Bread,,,,,,,,,
1,Scandinavian,,,,,,,,,
2,Cookies,Hot chocolate,Jam,,,,,,,
3,Muffin,,,,,,,,,
4,Pastry,Coffee,Bread,,,,,,,
5,Pastry,Medialuna,Muffin,,,,,,,
6,Pastry,Medialuna,Coffee,Tea,,,,,,
7,Pastry,Bread,,,,,,,,
8,Bread,Muffin,,,,,,,,
9,Medialuna,Scandinavian,,,,,,,,
10,Bread,NONE,Medialuna,,,,,,,
11,Pastry,Coffee,Tartine,Jam,Tea,,,,,
12,Bread,Coffee,Basket,,,,,,,
13,Pastry,Bread,Medialuna,,,,,,,
14,NONE,Mineral water,Scandinavian,,,,,,,
15,Bread,Coffee,Medialuna,,,,,,,
16,Hot chocolate,,,,,,,,,
17,Farm House,,,,,,,,,
18,Bread,Farm House,,,,,,,,
19,Bread,Medialuna,,,,,,,,
20,Bread,Coffee,Medialuna,,,,,,,
21,Jam,,,,,,,,,
22,Scandinavian,Muffin,,,,,,,,
23,Bread,,,,,,,,,
24,Scandinavian,,,,,,,,,
25,Fudge,,,,,,,,,
26,Scandinavian,,,,,,,,,
27,Coffee,Bread,,,,,,,,
28,Bread,NONE,Jam,,,,,,,
29,Bread,,,,,,,,,
30,Basket,,,,,,,,,
31,Scandinavian,Muffin,,,,,,,,
32,Coffee,,,,,,,,,
33,Coffee,Muffin,,,,,,,,
34,Scandinavian,Muffin,,,,,,,,
35,Tea,Bread,,,,,,,,
36,Coffee,NONE,Bread,,,,,,,
37,Tea,Bread,,,,,,,,
38,Scandinavian,,,,,,,,,
39,Juice,Muffin,Coffee,Tartine,NONE,,,,,
40,Scandinavian,,,,,,,,,
41,Tea,Bread,,,,,,,,
42,Fudge,Scandinavian,,,,,,,,
43,Coffee,Medialuna,,,,,,,,
44,Medialuna,Coffee,Hot chocolate,,,,,,,
45,Coffee,,,,,,,,,
46,Juice,Muffin,Jam,Ella's Kitchen Pouches,Bread,,,,,
47,Coffee,,,,,,,,,
48,Coffee,Medialuna,,,,,,,,
49,Bread,Victorian Sponge,,,,,,,,
50,Bread,,,,,,,,,
51,Scandinavian,,,,,,,,,
52,Bread,,,,,,,,,
53,Tea,Frittata,Coffee,Hearty & Seasonal,,,,,,
54,Coffee,Frittata,,,,,,,,
55,Scandinavian,,,,,,,,,
56,Tea,Hot chocolate,Victorian Sponge,Soup,,,,,,
57,Tea,NONE,,,,,,,,
58,Cookies,Coffee,Juice,,,,,,,
59,Coffee,,,,,,,,,
60,Coffee,Smoothies,Pick and Mix Bowls,Hearty & Seasonal,,,,,,
61,Coffee,,,,,,,,,
62,Cake,,,,,,,,,
63,Mighty Protein,Coffee,Tartine,Tea,NONE,,,,,
64,Frittata,Mineral water,Hearty & Seasonal,,,,,,,
65,Muffin,NONE,Mineral water,Hearty & Seasonal,,,,,,
66,Chicken sand,Coffee,Scandinavian,Tea,Frittata,,,,,
67,Tea,Bread,Victorian Sponge,,,,,,,
68,Fudge,,,,,,,,,
69,Muffin,,,,,,,,,
70,Coffee,Bread,,,,,,,,
71,Bread,,,,,,,,,
72,Coffee,Bread,,,,,,,,
73,Frittata,NONE,Jam,,,,,,,
74,Coffee,,,,,,,,,
75,Scandinavian,,,,,,,,,
76,Fudge,,,,,,,,,
77,Tea,Coffee,Fudge,Muffin,,,,,,
